"","lambda","par","df","r2","aicc","bic"
"seg868",6.13431158609329e-05,577,577,0.682603356544236,-14350.8218671455,6324.56065872166
"seg869",6.07801584253741e-05,577,577,0.682623298776991,-14351.3245280194,6324.48909788937
"seg870",6.02223673572193e-05,577,577,0.682628330390433,-14351.4513590895,6324.47104241634
"seg871",5.9669695243733e-05,577,577,0.682648607749253,-14351.9625075899,6324.3982790156
"seg872",5.91220951072948e-05,577,577,0.682653716708334,-14352.0912985851,6324.37994599499
"seg873",5.85795204014073e-05,578,578,0.682669173488987,-14350.1573004331,6333.31167760764
"seg874",5.8041925006739e-05,578,578,0.682674369599814,-14350.288296931,6333.29303185117
"seg875",5.75092632272042e-05,578,578,0.682695266754985,-14350.8151461049,6333.21804436934
"seg876",5.69814897860791e-05,578,578,0.682700521096947,-14350.9476215436,6333.1991896559
"seg877",5.64585598221527e-05,579,579,0.682721637261856,-14349.1557515473,6342.11061309882
"seg878",5.5940428885914e-05,579,579,0.682778872299716,-14350.5990318368,6341.90523053231
"seg879",5.54270529357736e-05,582,582,0.682829686576928,-14344.9040049241,6368.6844787253
"seg880",5.49183883343203e-05,583,583,0.68285977785386,-14343.336241831,6377.56369582031
"seg881",5.44143918446115e-05,583,583,0.682889689310529,-14344.0908069157,6377.45636136281
"seg882",5.39150206264982e-05,583,583,0.68291450855516,-14344.7169667121,6377.36729983072
"seg883",5.34202322329839e-05,584,584,0.682944157486666,-14343.137617749,6386.24810424081
"seg884",5.29299846066159e-05,584,584,0.682973630636668,-14343.8813232047,6386.14234260568
"seg885",5.2444236075911e-05,584,584,0.682998087677573,-14344.4985080622,6386.0545808077
"seg886",5.1962945351813e-05,587,587,0.683032119758698,-14338.371374025,6412.89405033771
"seg887",5.14860715241832e-05,587,587,0.683070604432446,-14339.3427534649,6412.75595169462
"seg888",5.10135740583232e-05,589,589,0.683113329553872,-14335.7608077662,6430.57703024398
"seg889",5.05454127915289e-05,588,588,0.683136878038263,-14338.6858878954,6421.50533189519
"seg890",5.00815479296772e-05,588,588,0.683160380464402,-14339.2792872825,6421.42099564278
"seg891",4.96219400438433e-05,588,588,0.683188471285002,-14339.9885941798,6421.32019436709
"seg892",4.9166550066949e-05,588,588,0.683230181920672,-14341.0419240719,6421.17051966214
"seg893",4.87153392904421e-05,587,587,0.683266790903216,-14344.2964679646,6412.05195494039
"seg894",4.82682693610062e-05,587,587,0.683298545275803,-14345.0985553634,6411.93800735193
"seg895",4.78253022773006e-05,587,587,0.683325603077391,-14345.7820749901,6411.8409129681
"seg896",4.738640038673e-05,588,588,0.683361383165622,-14344.356088888,6420.69971629719
"seg897",4.69515263822442e-05,589,589,0.68339677864568,-14342.9198577057,6429.55989975665
"seg898",4.6520643299167e-05,590,590,0.683427470661842,-14341.3642368284,6438.43696115527
"seg899",4.60937145120539e-05,591,591,0.683457933640246,-14339.802273279,6447.3148444344
"seg900",4.56707037315792e-05,592,592,0.683488170522482,-14338.234039496,6456.19353903842
"seg901",4.5251575001451e-05,593,593,0.683518183825721,-14336.6595972296,6465.07303593472
"seg902",4.48362926953555e-05,595,595,0.683547979300658,-14332.7447495014,6482.94051130811
"seg903",4.4424821513928e-05,595,595,0.683573365631803,-14333.3865491501,6482.84941483924
"seg904",4.40171264817529e-05,595,595,0.683602801807734,-14334.1307986411,6482.7437858821
"seg905",4.36131729443908e-05,596,596,0.683627880029959,-14332.4299472893,6491.64099185386
"seg906",4.32129265654325e-05,596,596,0.683652837464157,-14333.0610627909,6491.55143444146
"seg907",4.28163533235806e-05,597,597,0.683694016393164,-14331.7668889925,6500.39086453667
"seg908",4.24234195097576e-05,597,597,0.683714436492423,-14332.2833701085,6500.31758892525
"seg909",4.20340917242406e-05,597,597,0.683742888366438,-14333.003052752,6500.21549204323
"seg910",4.16483368738224e-05,597,597,0.683779107693236,-14333.9193047414,6500.08552238526
"seg911",4.12661221689983e-05,597,597,0.683814884414159,-14334.824463023,6499.95714097696
"seg912",4.08874151211792e-05,597,597,0.683838534904929,-14335.4228814601,6499.8722734085
"seg913",4.05121835399301e-05,598,598,0.683862075479123,-14333.6823299622,6508.77499708604
"seg914",4.01403955302334e-05,601,601,0.683881628346185,-14327.1646494336,6535.66642391802
"seg915",3.97720194897785e-05,601,601,0.683905011481505,-14327.7564277617,6535.58251572952
"seg916",3.9407024106275e-05,601,601,0.683928282589134,-14328.3454143672,6535.4990095419
"seg917",3.90453783547914e-05,602,602,0.6839514415531,-14326.5928452838,6544.40310259195
"seg918",3.86870514951178e-05,602,602,0.683970671509735,-14327.0796196396,6544.33409769573
"seg919",3.83320130691533e-05,603,603,0.683993660810919,-14325.3222015701,6553.23879956477
"seg920",3.79802328983166e-05,604,604,0.684012747014058,-14323.4653759396,6562.15750733515
"seg921",3.76316810809809e-05,604,604,0.68403178362646,-14323.947349454,6562.08919623659
"seg922",3.72863279899324e-05,604,604,0.684050768358858,-14324.4280383785,6562.02107130455
"seg923",3.6944144269852e-05,606,606,0.684069699246936,-14320.2254425327,6579.92753322913
"seg924",3.66051008348198e-05,607,607,0.684088576120334,-14318.3615325997,6588.84699215966
"seg925",3.62691688658429e-05,608,608,0.684111133311615,-14316.590222348,6597.75324461457
"seg926",3.59363198084058e-05,608,608,0.684129853445014,-14317.0643305573,6597.68606917123
"seg927",3.56065253700433e-05,607,607,0.684152240874745,-14319.9739129203,6588.61853715821
"seg928",3.52797575179354e-05,608,608,0.684155976494583,-14317.7259728208,6597.59232905737
"seg929",3.49559884765248e-05,607,607,0.684170951299567,-14320.4478369167,6588.55139655319
"seg930",3.46351907251556e-05,607,607,0.684174702042199,-14320.5428443879,6588.53793736495
"seg931",3.43173369957343e-05,607,607,0.684197188966087,-14321.1124687875,6588.45724514715
"seg932",3.40024002704117e-05,607,607,0.684241518615664,-14322.235517972,6588.29817235637
"seg933",3.36903537792867e-05,607,607,0.684274204009361,-14323.0636720818,6588.18088388595
"seg934",3.33811709981307e-05,608,608,0.684302922661338,-14321.4488321998,6597.0650265169
"seg935",3.30748256461329e-05,608,608,0.684327827430257,-14322.0799625613,6596.97565808892
"seg936",3.27712916836666e-05,608,608,0.684349034709822,-14322.6174313357,6596.89955775478
"seg937",3.24705433100755e-05,609,609,0.68437361405777,-14320.8972127593,6605.7985538901
"seg938",3.21725549614809e-05,609,609,0.684394544458644,-14321.4277411517,6605.72344710918
"seg939",3.18773013086089e-05,609,609,0.684411910878154,-14321.8679590763,6605.6611293412
"seg940",3.1584757254637e-05,610,610,0.684425773980942,-14319.8755623909,6614.59857971743
"seg941",3.12948979330608e-05,610,610,0.684439620237569,-14320.2265811815,6614.54889372387
"seg942",3.10076987055809e-05,611,611,0.684453447296015,-14318.2326670338,6623.48647344184
"seg943",3.0723135160008e-05,612,612,0.684467253821125,-14316.2376128928,6632.42412684176
"seg944",3.04411831081883e-05,612,612,0.684481037431521,-14316.5870894306,6632.37466564833
"seg945",3.01618185839471e-05,612,612,0.684484489647372,-14316.6746210252,6632.36227769545
"seg946",2.98850178410519e-05,612,612,0.68450175391766,-14317.1123742783,6632.30032648037
"seg947",2.9610757351194e-05,612,612,0.68451893862574,-14317.5481339397,6632.23866076681
"seg948",2.93390138019884e-05,611,611,0.684532644676266,-14320.2407972423,6623.20228106904
"seg949",2.90697640949922e-05,611,611,0.684553092273629,-14320.7593487747,6623.12890678324
"seg950",2.88029853437413e-05,612,612,0.684576742169717,-14319.0140562326,6632.03123816941
"seg951",2.85386548718052e-05,614,614,0.684590178885934,-14314.66275749,6649.95741541453
"seg952",2.82767502108592e-05,614,614,0.684603583923315,-14315.0027677586,6649.90931269486
"seg953",2.80172490987746e-05,614,614,0.684616955608617,-14315.3419464705,6649.861329656
"seg954",2.77601294777268e-05,614,614,0.684620301966769,-14315.4268305748,6649.84932156355
"seg955",2.75053694923196e-05,615,615,0.68463702482041,-14313.5040357202,6658.776509992
"seg956",2.72529474877283e-05,615,615,0.684650348366749,-14313.8420291778,6658.7286996953
"seg957",2.70028420078584e-05,616,616,0.684663633062471,-14311.831413327,6667.66822563105
"seg958",2.67550317935223e-05,616,616,0.684666956532812,-14311.9157293325,6667.65629966937
"seg959",2.65094957806317e-05,616,616,0.684683560326163,-14312.3369786965,6667.59671851384
"seg960",2.62662130984078e-05,616,616,0.68469678559852,-14312.67252859,6667.5492608641
"seg961",2.60251630676066e-05,617,617,0.6847099688703,-14310.6587528552,6676.48915075016
"seg962",2.57863251987615e-05,618,618,0.684713265909288,-14308.3935002848,6685.46451645557
"seg963",2.55496791904418e-05,618,618,0.684729733314563,-14308.8113506681,6685.40542471587
"seg964",2.53152049275268e-05,620,620,0.684742847096452,-14304.4443899584,6703.33276078054
"seg965",2.50828824794961e-05,620,620,0.684746126030397,-14304.5275969776,6703.32099463354
